City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
370,murmashi,0,RU,1529902800,51,68.82,32.82,60.8,4.47
371,mbandaka,92,CD,1529905124,100,0.05,18.26,71.84,1.7
372,leninskoye,0,RU,1529902800,60,54.82,82.85,75.2,4.47
373,erzincan,20,TR,1529902200,60,39.75,39.49,69.8,1.12
374,baturaja,92,ID,1529905125,100,-4.12,104.17,76.16,4.16
375,arlit,24,NE,1529905125,74,18.74,7.39,73.91,5.95
376,flin flon,8,CA,1529904960,78,54.77,-101.88,66.8,6.73
377,fort nelson,75,CA,1529902800,60,58.81,-122.69,68.0,6.93
378,san quintin,40,PH,1529902800,75,17.54,120.52,89.6,9.17
379,klaksvik,32,FO,1529902200,100,62.23,-6.59,50.0,9.17
380,havoysund,0,NO,1529902200,66,71.0,24.66,48.2,9.17
381,kyzyl-suu,8,KG,1529905126,100,42.34,78.0,56.36,0.36
